,chembl_compound,uniprot_id,drugbankId
3628,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P23921,DB00441
3629,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:Q07864,DB00441
3630,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:Q9NRF9,DB00441
3631,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:P49643,DB00441
3632,CHEMBL.COMPOUND:CHEMBL888,UniProtKB:Q9HCU8,DB00441
3633,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:P14867,DB01205
3634,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:P47869,DB01205
3635,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:P31644,DB01205
3636,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:Q99928,DB01205
3637,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:P18507,DB01205
3638,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:Q8N1C3,DB01205
3639,CHEMBL.COMPOUND:CHEMBL407,UniProtKB:P34903,DB01205
3640,CHEMBL.COMPOUND:CHEMBL3597971,UniProtKB:O43614,
3641,CHEMBL.COMPOUND:CHEMBL605846,UniProtKB:P07550,DB09080
3642,CHEMBL.COMPOUND:CHEMBL4303404,UniProtKB:Q15059,
3643,CHEMBL.COMPOUND:CHEMBL4303404,UniProtKB:O60885,
3644,CHEMBL.COMPOUND:CHEMBL4303404,UniProtKB:Q58F21,
3645,CHEMBL.COMPOUND:CHEMBL4303404,UniProtKB:P25440,
3646,CHEMBL.COMPOUND:CHEMBL1201287,UniProtKB:P35367,DB00405
3647,CHEMBL.COMPOUND:CHEMBL1730601,UniProtKB:Q12882,DB09257
3648,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:P48736,DB11772
3649,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:P42336,DB11772
3650,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:Q92569,DB11772
3651,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:Q8WYR1,DB11772
3652,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:O00459,DB11772
3653,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:P42338,DB11772
3654,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:P27986,DB11772
3655,CHEMBL.COMPOUND:CHEMBL3360203,UniProtKB:O00329,DB11772
3656,CHEMBL.COMPOUND:CHEMBL1657,UniProtKB:P13631,DB00799
3657,CHEMBL.COMPOUND:CHEMBL1657,UniProtKB:P10826,DB00799
3658,CHEMBL.COMPOUND:CHEMBL1657,UniProtKB:P10276,DB00799
3659,CHEMBL.COMPOUND:CHEMBL4582651,UniProtKB:Q16204,
3660,CHEMBL.COMPOUND:CHEMBL4582651,UniProtKB:P33176,
3661,CHEMBL.COMPOUND:CHEMBL4582651,UniProtKB:P07949,
3662,CHEMBL.COMPOUND:CHEMBL2110727,UniProtKB:P41597,DB11758
3663,CHEMBL.COMPOUND:CHEMBL2110727,UniProtKB:P51681,DB11758
3664,CHEMBL.COMPOUND:CHEMBL839,UniProtKB:P13945,DB00521
3665,CHEMBL.COMPOUND:CHEMBL839,UniProtKB:P07550,DB00521
3666,CHEMBL.COMPOUND:CHEMBL839,UniProtKB:P08588,DB00521
3667,CHEMBL.COMPOUND:CHEMBL90,UniProtKB:P35367,DB05381
3668,CHEMBL.COMPOUND:CHEMBL340978,UniProtKB:P18054,DB04812
3669,CHEMBL.COMPOUND:CHEMBL704,UniProtKB:P35354,DB00244
3670,CHEMBL.COMPOUND:CHEMBL704,UniProtKB:P09917,DB00244
3671,CHEMBL.COMPOUND:CHEMBL704,UniProtKB:P37231,DB00244
3672,CHEMBL.COMPOUND:CHEMBL704,UniProtKB:P23219,DB00244
3673,CHEMBL.COMPOUND:CHEMBL1655,UniProtKB:Q92731,DB00539
3674,CHEMBL.COMPOUND:CHEMBL1655,UniProtKB:P03372,DB00539
3675,CHEMBL.COMPOUND:CHEMBL1171837,UniProtKB:P11274,DB08901
3676,CHEMBL.COMPOUND:CHEMBL1171837,UniProtKB:P00519,DB08901
3677,CHEMBL.COMPOUND:CHEMBL1201260,UniProtKB:P23975,DB00217
3678,CHEMBL.COMPOUND:CHEMBL2402737,UniProtKB:Q00987,DB12325
3679,CHEMBL.COMPOUND:CHEMBL2402737,UniProtKB:P04637,DB12325
3680,CHEMBL.COMPOUND:CHEMBL479527,UniProtKB:P11597,DB06281
3681,CHEMBL.COMPOUND:CHEMBL166863,UniProtKB:P35354,DB12399
