DrugBank ID,First letter ATC Codes
DB00347,N
DB00348,A
DB00349,N
DB00350,D
DB00351,G
DB00352,L
DB00353,G
DB00354,R
DB00355,J
DB00356,M
DB00357,L
DB00358,P
DB00359,J
DB00360,A
DB00361,L
DB00362,J
DB00363,N
DB00364,A
DB00365,J
DB00366,R
DB00367,G
DB00368,C
DB00369,J
DB00370,N
DB00371,N
DB00372,R
DB00373,C
DB00374,B
DB00375,C
DB00376,N
DB00377,A
DB00378,G
DB00379,C
DB00380,V
DB00381,C
DB00382,N
DB00383,A
DB00384,C
DB00385,L
DB00387,N
DB00388,S
DB00389,H
DB00390,C
DB00391,N
DB00392,N
DB00393,C
DB00394,D
DB00395,M
DB00396,G
DB00397,R
DB00398,L
DB00399,M
DB00400,D
DB00401,C
DB00402,N
DB00403,V
DB00404,N
DB00405,R
DB00406,G
DB00407,No ATC Code
DB00408,N
DB00409,N
DB00410,R
DB00411,N
DB00412,A
DB00413,N
DB00414,G
DB00415,J
DB00416,No ATC Code
DB00417,J
DB00418,N
DB00419,A
DB00420,N
DB00421,C
DB00422,N
DB00423,M
DB00424,A
DB00425,N
DB00426,J
DB00427,R
DB00428,L
DB00429,G
DB00430,J
DB00431,P
DB00432,L
DB00433,N
DB00434,R
DB00435,R
DB00436,C
DB00437,M
DB00438,J
DB00439,C
DB00440,J
DB00441,L
DB00442,J
DB00443,R
DB00444,L
DB00445,L
DB00446,D
DB00447,J
DB00448,A
DB00449,S
DB00450,N
DB00451,H
DB00452,D
DB00453,J
DB00454,N
DB00455,R
DB00456,J
DB00457,C
DB00458,N
DB00459,D
DB00460,S
DB00461,M
DB00462,No ATC Code
DB00463,N
DB00464,C
DB00465,M
DB00466,No ATC Code
DB00467,J
DB00468,M
DB00469,M
DB00470,A
DB00471,R
DB00472,N
DB00473,No ATC Code
DB00474,N
DB00475,N
DB00476,N
DB00477,N
DB00478,J
DB00479,S
DB00480,L
DB00481,G
DB00482,N
DB00483,No ATC Code
DB00484,D
DB00485,J
DB00486,A
DB00487,J
DB00488,L
DB00489,C
DB00490,N
DB00491,A
DB00492,C
DB00493,J
DB00494,N
DB00495,J
DB00496,G
DB00497,N
DB00498,B
DB00499,L
DB00500,M
DB00501,A
DB00502,N
DB00503,J
DB00504,No ATC Code
DB00505,A
DB00507,P
DB00508,N
DB00509,C
DB00511,C
DB00512,J
DB00513,B
DB00514,R
DB00515,L
DB00516,No ATC Code
DB00517,No ATC Code
DB00518,P
DB00519,C
DB00520,J
DB00521,S
DB00522,V
DB00523,L
DB00524,C
DB00525,D
DB00526,L
DB00527,D
DB00528,C
DB00529,J
DB00530,L
DB00531,L
DB00532,N
DB00533,M
DB00534,No ATC Code
DB00535,J
DB00536,No ATC Code
DB00537,J
DB00538,V
DB00539,L
DB00540,N
DB00541,L
DB00542,C
DB00543,N
DB00544,L
DB00545,N
DB00546,N
DB00547,D
DB00548,D
DB00549,R
DB00550,H
DB00551,G
DB00552,L
DB00553,D
DB00554,M
DB00555,N
DB00556,No ATC Code
DB00557,N
DB00558,J
DB00559,G
DB00560,J
DB00561,R
DB00562,G
DB00563,L
DB00564,N
DB00565,M
DB00566,No ATC Code
DB00567,J
DB00568,N
DB00569,B
DB00570,L
DB00571,C
DB00572,S
DB00573,M
DB00574,A
DB00575,S
DB00576,J
DB00577,J
DB00578,J
DB00579,A
DB00580,M
DB00581,A
DB00582,J
DB00583,A
DB00584,C
DB00585,A
DB00586,S
DB00587,No ATC Code
DB00588,No ATC Code
DB00589,G
DB00590,C
DB00591,S
DB00592,P
DB00593,N
DB00594,C
DB00595,J
DB00596,D
DB00597,V
DB00598,C
DB00599,N
DB00600,D
DB00601,J
DB00602,P
DB00603,G
DB00604,A
DB00605,M
DB00606,G
DB00607,J
DB00608,P
DB00609,J
DB00610,C
DB00611,N
DB00612,C
DB00613,P
DB00614,G
DB00615,J
DB00616,No ATC Code
DB00617,N
DB00618,J
DB00619,L
DB00620,D
DB00621,A
DB00622,C
DB00623,N
DB00624,G
DB00625,J
DB00626,J
DB00627,C
DB00628,N
DB00629,No ATC Code
DB00630,M
DB00631,L
DB00632,D
DB00633,N
DB00634,D
DB00635,A
DB00636,C
DB00637,R
DB00638,V
DB00639,G
DB00640,C
DB00641,A
DB00642,L
DB00643,P
DB00644,V
DB00645,N
DB00646,D
DB00647,N
DB00648,L
DB00649,J
DB00650,V
DB00651,R
DB00652,N
DB00653,A
DB00654,S
DB00655,G
DB00656,N
DB00657,C
DB00658,V
DB00659,N
DB00660,No ATC Code
DB00661,C
DB00662,R
DB00663,D
DB00664,G
DB00665,L
DB00666,H
DB00668,A
DB00669,N
DB00670,A
DB00671,J
DB00672,G
DB00673,A
DB00674,N
DB00675,L
DB00676,P
DB00677,No ATC Code
DB00678,C
DB00679,N
DB00680,C
DB00681,G
DB00682,B
DB00683,N
DB00684,S
DB00685,J
DB00686,C
DB00687,S
DB00688,No ATC Code
DB00689,No ATC Code
DB00690,N
DB00691,C
DB00692,V
DB00693,S
DB00694,L
DB00695,C
DB00696,N
DB00697,M
DB00698,J
DB00699,C
DB00700,C
DB00701,J
DB00702,No ATC Code
DB00703,G
DB00704,N
DB00705,J
DB00706,G
DB00707,L
DB00708,N
DB00709,J
DB00710,M
DB00711,P
DB00712,M
DB00713,J
DB00714,G
DB00715,N
DB00716,R
DB00717,H
DB00718,J
DB00719,R
DB00720,M
DB00721,N
DB00722,C
DB00723,C
DB00724,D
DB00725,A
DB00726,N
DB00727,C
DB00728,M
DB00730,D
DB00731,A
DB00732,No ATC Code
DB00733,V
DB00734,N
DB00735,D
DB00736,A
DB00737,R
DB00738,P
DB00739,J
DB00740,N
DB00741,S
DB00742,B
DB00743,V
DB00744,No ATC Code
DB00745,N
DB00746,V
DB00747,N
DB00748,R
DB00749,M
DB00750,N
DB00751,S
DB00752,N
DB00753,N
DB00754,N
DB00755,L
DB00756,D
DB00757,A
DB00758,B
DB00759,S
DB00760,J
DB00761,A
DB00762,L
DB00763,H
DB00764,R
DB00765,C
DB00766,No ATC Code
DB00767,No ATC Code
DB00768,S
DB00769,No ATC Code
DB00770,C
DB00771,A
DB00772,P
DB00773,L
DB00774,C
DB00775,B
DB00776,N
DB00777,N
DB00778,J
DB00779,J
DB00780,N
DB00782,A
DB00783,G
DB00784,M
DB00785,No ATC Code
DB00786,No ATC Code
DB00787,J
DB00788,G
DB00789,V
DB00790,C
DB00791,L
DB00792,R
DB00793,D
DB00794,N
DB00795,G
DB00796,No ATC Code
DB00797,M
DB00798,S
DB00799,D
DB00800,C
DB00801,N
DB00802,N
DB00803,J
DB00804,A
DB00805,N
DB00806,C
DB00807,S
DB00808,C
DB00809,S
DB00810,N
DB00811,J
DB00812,M
DB00813,N
DB00814,N
DB00815,No ATC Code
DB00816,R
DB00817,J
DB00818,N
DB00819,G
DB00820,G
DB00821,No ATC Code
DB00822,P
DB00823,No ATC Code
DB00824,No ATC Code
DB00825,No ATC Code
DB00826,G
DB00827,J
DB00828,S
DB00829,N
DB00830,No ATC Code
DB00831,N
DB00832,N
DB00833,J
DB00834,G
DB00835,R
DB00836,A
DB00837,N
DB00838,D
DB00839,A
DB00840,No ATC Code
DB00841,C
DB00842,N
DB00843,N
DB00844,N
DB00845,J
DB00846,D
DB00847,A
DB00848,P
DB00849,N
DB00850,N
DB00851,L
DB00852,R
DB00853,L
DB00854,No ATC Code
DB00855,L
DB00856,D
DB00857,D
DB00858,No ATC Code
DB00859,M
DB00860,D
DB00861,N
DB00862,G
DB00863,A
DB00864,D
DB00865,No ATC Code
DB00866,C
DB00867,G
DB00868,R
DB00869,G
DB00870,M
DB00871,R
DB00872,C
DB14596,No ATC Code
DB00874,R
DB00875,N
DB00876,C
DB00877,L
DB00878,R
DB00879,J
DB00880,C
DB00881,C
DB00882,G
DB00883,C
DB00884,M
DB00885,No ATC Code
DB00886,No ATC Code
DB00887,G
DB00888,L
DB00889,A
DB00890,G
DB00891,G
DB00892,S
DB00893,No ATC Code
DB00894,No ATC Code
DB00895,J
DB00896,H
DB00897,N
DB00898,V
DB00899,N
DB00900,J
DB00901,R
DB00902,R
DB00903,C
DB00904,A
DB00905,S
DB00906,N
DB00907,S
DB00908,C
DB00909,N
DB00910,H
DB00911,J
DB00912,A
DB00913,N
DB00914,A
DB00915,N
DB00916,A
DB00917,G
DB00918,N
DB00919,J
DB00920,S
DB00921,N
DB00922,C
DB00923,J
DB00924,M
DB00925,C
DB00926,D
DB00927,A
DB00928,L
DB00929,G
DB00930,C
DB00931,J
DB00932,J
DB00933,N
DB00934,N
DB00935,S
DB00936,D
DB00937,A
DB00938,R
DB00939,M
DB00940,A
DB00941,M
DB00942,No ATC Code
DB00943,J
DB00944,S
DB00945,B
DB00946,B
DB00947,L
DB00948,J
DB00949,N
DB00950,R
DB00951,J
DB00952,N
DB00953,N
DB00954,J
DB00955,S
DB00956,R
DB00957,G
DB00958,L
DB00959,D
DB00960,C
DB00961,N
DB00962,N
DB00963,S
DB00964,S
DB00965,V
DB00966,C
DB00967,R
DB00968,C
DB00969,A
DB00970,L
DB00971,D
DB00972,R
DB00973,C
DB00974,No ATC Code
DB00975,B
DB00976,J
DB00977,G
DB00978,S
DB00979,S
DB00980,N
DB00981,S
DB00982,D
DB00983,R
DB00984,No ATC Code
DB00985,R
DB00986,R
DB00987,L
DB00988,C
DB00989,N
DB00990,L
DB00991,M
DB00992,L
DB00993,L
DB00994,A
DB00995,M
DB00996,N
DB00997,L
DB00998,N
DB00999,C
DB01000,J
DB01001,R
DB01002,N
DB01003,R
DB01004,J
DB01005,L
DB01006,L
DB01007,G
DB01008,L
DB01009,M
DB01010,V
DB01011,V
DB01012,H
DB01013,No ATC Code
DB01014,A
DB01015,J
DB01016,A
DB01017,D
DB01018,C
DB01019,N
DB01020,C
DB01021,G
DB01022,B
DB01023,C
DB01024,L
DB01025,A
DB01026,G
DB01028,N
DB01029,C
DB01030,L
DB01031,No ATC Code
DB01032,M
DB01033,L
DB01034,No ATC Code
DB01035,C
DB01036,G
DB01037,N
DB01038,No ATC Code
DB01039,C
DB01041,L
DB01042,L
DB01043,N
DB01044,S
DB01045,J
DB01046,A
DB01047,C
DB01048,J
DB01049,No ATC Code
DB01050,G
DB01051,No ATC Code
DB01053,J
DB01054,C
DB01055,No ATC Code
DB01056,C
DB01057,S
DB01058,P
DB01059,J
DB01060,A
DB01061,J
DB01062,G
DB01063,N
DB01064,C
DB01065,N
DB01066,J
DB01067,A
DB01068,N
DB01069,R
DB01070,A
DB01071,R
DB01072,J
DB01073,L
DB01074,C
DB01075,D
DB01076,C
DB01077,M
DB01078,C
DB01079,A
DB01080,N
DB01081,A
DB01082,J
DB01083,A
DB01084,S
DB01085,N
DB01086,C
DB01087,P
DB01088,B
DB01089,C
DB01090,No ATC Code
DB01091,D
DB01092,C
DB01093,M
DB01094,No ATC Code
DB01095,C
DB01096,P
DB01097,L
DB01098,C
DB01099,J
DB01100,N
DB01101,L
DB01102,C
DB01103,P
DB01104,N
DB01105,A
DB01106,R
DB01107,N
DB01108,H
DB01109,B
DB01110,A
DB01111,No ATC Code
DB01112,S
DB01113,G
DB01114,R
DB01115,C
DB01116,C
DB01117,P
DB01118,C
DB01119,G
DB01120,A
DB01121,N
DB01122,N
DB01123,No ATC Code
DB01124,V
DB01125,No ATC Code
DB01126,G
DB01127,G
DB01128,L
DB01129,A
DB01130,D
DB01131,P
DB01132,A
DB01133,M
DB01134,No ATC Code
DB01135,M
DB01136,C
DB01137,J
DB01138,M
DB01139,J
DB01140,J
DB01141,J
DB01142,N
DB01143,V
DB01144,G
DB01145,J
DB01146,R
DB01147,J
DB01148,G
DB01149,N
DB01150,J
DB01151,N
DB01152,G
DB01153,G
DB01154,N
DB01155,J
DB01156,A
DB01157,P
DB01158,C
DB01159,N
DB01160,No ATC Code
DB01161,N
DB01162,G
DB01163,J
DB01164,A
DB01165,J
DB01166,B
DB01167,J
DB01168,L
DB01169,L
DB01170,S
DB01171,N
DB01172,S
DB01173,M
DB01174,N
DB01175,N
DB01176,R
DB01177,L
DB01178,M
DB01179,D
DB01180,C
DB01181,L
DB01182,C
DB01183,A
DB01184,A
DB01185,G
DB01186,N
DB01187,V
DB01188,D
DB01189,N
DB01190,D
DB01191,A
DB01192,N
DB01193,C
DB01194,S
DB01195,C
DB01196,L
DB01197,C
DB01198,N
DB01199,M
DB01200,N
DB01201,J
DB01202,N
DB01203,C
DB01204,L
DB01205,V
DB01206,L
DB01207,No ATC Code
DB01208,J
DB01209,N
DB01210,S
DB01211,A
DB01212,J
DB01213,V
DB01214,S
DB01215,N
DB01216,D
DB01217,L
DB01218,P
DB01219,M
DB01220,A
DB01221,N
DB01222,R
DB01223,R
DB01224,N
DB01225,B
DB01226,M
DB01227,N
DB01228,C
DB01229,L
DB01230,N
DB01231,No ATC Code
DB01232,J
DB01233,A
DB01234,R
DB01235,N
DB01236,N
DB01237,R
DB01238,N
DB01239,N
DB01240,B
DB01241,C
DB01242,N
DB01243,No ATC Code
DB01244,C
DB01245,No ATC Code
DB01246,R
DB01247,N
DB01248,L
DB01249,V
DB01250,A
DB01251,A
DB01252,A
DB01253,G
DB01254,L
DB01255,N
DB01256,D
DB01257,L
DB01259,L
DB01260,S
DB01261,A
DB01262,L
DB01263,J
DB01264,J
DB01265,J
DB01266,D
DB01267,N
DB01268,L
DB01269,L
DB01270,S
DB01271,A
DB01272,A
DB01273,S
DB01274,No ATC Code
DB01275,C
DB01276,A
DB01277,H
DB01278,A
DB01279,A
DB01280,L
DB01281,L
DB01282,H
DB01283,M
DB01284,H
DB01285,H
DB01288,R
DB01289,A
DB01291,R
DB01294,No ATC Code
DB01295,C
DB01296,M
DB01297,C
DB01298,G
DB01299,P
DB01301,J
DB01303,R
DB01306,A
DB01307,A
DB01309,A
DB01319,J
DB01320,N
DB01321,J
DB01322,No ATC Code
DB01323,N
DB01324,C
DB01325,G
DB01326,J
DB01327,J
DB01328,J
DB01329,J
DB01330,J
DB01331,J
DB01332,J
DB01333,J
DB01336,No ATC Code
DB01337,M
DB01338,M
DB01339,M
DB01340,C
DB01341,No ATC Code
DB01342,No ATC Code
DB01344,V
DB01345,No ATC Code
DB01346,No ATC Code
DB01347,No ATC Code
DB01348,C
DB01349,C
DB01351,N
DB01352,N
DB01353,N
DB01354,N
DB01355,N
DB01356,No ATC Code
DB01357,No ATC Code
DB01359,C
DB01362,V
DB01363,No ATC Code
DB01364,S
DB01365,C
DB01366,R
DB01367,N
DB01369,No ATC Code
DB01370,No ATC Code
DB01373,M
DB01375,No ATC Code
DB01377,A
DB01378,No ATC Code
DB01380,No ATC Code
DB01381,N
DB01382,A
DB01384,H
DB01388,C
DB01390,B
DB01392,G
DB01393,C
DB01394,M
DB01395,G
DB01396,C
DB01397,No ATC Code
DB01399,N
DB01400,N
DB01401,No ATC Code
DB01403,N
DB01404,No ATC Code
DB01405,J
DB01406,G
DB01407,R
DB01408,R
DB01409,R
DB01410,R
DB01411,R
DB01412,C
DB01413,J
DB01414,J
DB01415,J
DB01416,J
DB01418,B
DB01419,No ATC Code
DB01420,No ATC Code
DB01421,A
DB01422,J
DB01423,R
DB01424,N
DB01425,A
DB01426,C
DB01427,C
DB01428,No ATC Code
DB01429,C
DB01430,R
DB01431,G
DB01432,C
DB01433,No ATC Code
DB01434,No ATC Code
DB01435,N
DB01436,A
DB01437,N
DB01438,G
DB01439,No ATC Code
DB01440,No ATC Code
DB01441,No ATC Code
DB01442,No ATC Code
DB01443,No ATC Code
DB01444,No ATC Code
DB01445,No ATC Code
DB01446,No ATC Code
DB01447,No ATC Code
DB01448,No ATC Code
DB01450,No ATC Code
DB01451,No ATC Code
DB01452,N
DB01453,No ATC Code
DB01454,No ATC Code
DB01455,No ATC Code
DB01456,No ATC Code
DB01458,No ATC Code
DB01459,N
DB01460,No ATC Code
DB01461,No ATC Code
DB01462,No ATC Code
DB01463,N
DB01464,No ATC Code
DB01465,No ATC Code
DB01466,S
DB01467,No ATC Code
DB01468,No ATC Code
DB01469,No ATC Code
DB01470,No ATC Code
DB01471,No ATC Code
DB01472,No ATC Code
DB01473,No ATC Code
DB01474,No ATC Code
DB01475,No ATC Code
DB01476,No ATC Code
DB01477,No ATC Code
DB01478,No ATC Code
DB01479,No ATC Code
DB01480,No ATC Code
DB01481,No ATC Code
DB01482,N
DB01483,N
DB01484,No ATC Code
DB01485,No ATC Code
DB01486,A
DB01487,No ATC Code
DB01488,No ATC Code
DB01489,N
DB01490,No ATC Code
DB01491,No ATC Code
DB01493,A
DB01494,No ATC Code
DB01495,N
DB01496,No ATC Code
DB01497,No ATC Code
DB01498,No ATC Code
DB01499,No ATC Code
DB01500,No ATC Code
DB01501,A
DB01502,No ATC Code
DB01503,No ATC Code
DB01505,No ATC Code
DB01506,No ATC Code
DB01509,No ATC Code
DB01510,No ATC Code
DB01511,No ATC Code
DB01512,No ATC Code
DB01513,No ATC Code
DB01514,No ATC Code
DB01515,No ATC Code
DB01516,No ATC Code
DB01518,No ATC Code
DB01520,No ATC Code
DB01521,No ATC Code
DB01522,No ATC Code
DB01523,No ATC Code
DB01524,No ATC Code
DB01525,No ATC Code
DB01526,No ATC Code
DB01527,No ATC Code
DB01528,No ATC Code
DB01529,N
DB01530,No ATC Code
DB01531,No ATC Code
DB01532,No ATC Code
DB01533,No ATC Code
DB01534,N
DB01535,No ATC Code
DB01536,No ATC Code
DB01537,No ATC Code
DB01538,R
DB01539,No ATC Code
DB01540,No ATC Code
DB01541,No ATC Code
DB01542,No ATC Code
DB01543,No ATC Code
DB01544,N
DB01545,N
DB01546,No ATC Code
DB01547,No ATC Code
DB01548,No ATC Code
DB01549,No ATC Code
DB01550,No ATC Code
DB01551,N
DB01552,No ATC Code
DB01553,N
DB01554,No ATC Code
DB01555,No ATC Code
DB01556,No ATC Code
DB01557,No ATC Code
DB01558,N
DB01559,N
DB01560,No ATC Code
DB01561,No ATC Code
DB01562,No ATC Code
DB01563,N
DB01564,No ATC Code
DB01565,No ATC Code
DB01566,No ATC Code
DB01567,N
DB01568,No ATC Code
DB01569,No ATC Code
DB01570,No ATC Code
DB01571,No ATC Code
DB01572,No ATC Code
DB01573,No ATC Code
DB01574,A
DB01575,A
DB01576,N
DB01577,N
DB01578,V
DB01579,No ATC Code
DB01580,C
DB01581,J
DB01582,J
DB01583,No ATC Code
DB01584,No ATC Code
DB01586,A
DB01587,N
DB01588,N
DB01589,N
DB01590,L
DB01591,G
DB01592,B
DB01593,C
DB01594,N
DB01595,N
DB01597,J
DB01598,J
DB01599,C
DB01600,M
DB01601,J
DB01602,J
DB01603,J
DB01604,J
DB01605,J
DB01606,J
DB01607,J
DB01608,N
DB01609,V
DB01610,J
DB01611,P
DB01612,V
DB01613,C
DB01614,N
DB01615,No ATC Code
DB01616,A
DB01618,N
DB01619,R
DB01620,R
DB01621,N
DB01622,N
DB01623,N
DB01624,N
DB01625,A
DB01626,C
DB01627,J
DB01628,M
DB01629,No ATC Code
DB01630,No ATC Code
DB01631,No ATC Code
DB01632,No ATC Code
DB01633,No ATC Code
DB01634,No ATC Code
DB01635,No ATC Code
DB01637,No ATC Code
DB01638,B
DB01639,No ATC Code
DB01640,No ATC Code
DB01641,No ATC Code
DB01642,No ATC Code
DB01643,No ATC Code
DB01644,No ATC Code
DB01645,No ATC Code
DB01646,No ATC Code
DB01647,No ATC Code
DB01648,No ATC Code
DB01649,No ATC Code
DB01650,No ATC Code
DB01651,No ATC Code
DB01652,No ATC Code
DB01655,No ATC Code
DB01656,R
DB01657,No ATC Code
DB01658,No ATC Code
DB01659,No ATC Code
DB01661,No ATC Code
DB01662,No ATC Code
DB01663,No ATC Code
DB01664,No ATC Code
DB01665,No ATC Code
DB01666,No ATC Code
DB01667,No ATC Code
DB01668,No ATC Code
DB01669,No ATC Code
DB01670,No ATC Code
DB01671,No ATC Code
DB01672,No ATC Code
DB01673,No ATC Code
DB01674,No ATC Code
DB01675,No ATC Code
DB01676,No ATC Code
DB01677,D
DB01678,No ATC Code
DB01679,No ATC Code
DB01681,No ATC Code
DB01682,No ATC Code
DB01683,No ATC Code
DB01684,No ATC Code
DB01685,No ATC Code
DB01686,No ATC Code
DB01687,No ATC Code
DB01688,No ATC Code
DB01689,No ATC Code
DB01690,No ATC Code
DB01691,No ATC Code
DB01692,No ATC Code
DB01694,No ATC Code
DB01695,No ATC Code
DB01697,No ATC Code
DB01698,C
DB01699,No ATC Code
DB01700,No ATC Code
DB01701,No ATC Code
DB01702,No ATC Code
DB01703,No ATC Code
DB01704,No ATC Code
DB01705,No ATC Code
DB01706,No ATC Code
DB01707,No ATC Code
DB01708,G
DB01709,No ATC Code
DB01710,No ATC Code
DB01711,No ATC Code
DB01712,No ATC Code
DB01713,No ATC Code
DB01714,No ATC Code
DB01715,No ATC Code
DB01716,No ATC Code
DB01717,No ATC Code
DB01718,D
DB01719,No ATC Code
DB01720,No ATC Code
DB01721,No ATC Code
DB01723,No ATC Code
DB01724,No ATC Code
DB01725,No ATC Code
DB01726,No ATC Code
DB01727,No ATC Code
DB01728,No ATC Code
DB01729,No ATC Code
DB01731,No ATC Code
DB01732,No ATC Code
DB01733,No ATC Code
DB01734,No ATC Code
DB01735,No ATC Code
DB01736,No ATC Code
DB01737,No ATC Code
DB01738,No ATC Code
DB01739,No ATC Code
DB01740,No ATC Code
DB01741,No ATC Code
DB01742,No ATC Code
DB01744,C
DB01745,No ATC Code
DB01746,No ATC Code
DB01747,No ATC Code
DB01748,No ATC Code
DB01749,No ATC Code
DB01750,No ATC Code
DB01751,No ATC Code
DB01752,No ATC Code
DB01753,No ATC Code
DB01754,No ATC Code
DB01755,No ATC Code
DB01756,No ATC Code
DB01758,No ATC Code
DB01759,No ATC Code
DB01760,No ATC Code
DB01761,No ATC Code
DB01762,No ATC Code
DB01763,No ATC Code
DB01764,No ATC Code
DB01765,No ATC Code
DB01766,No ATC Code
DB01767,No ATC Code
DB01768,No ATC Code
DB01771,No ATC Code
DB01772,No ATC Code
DB01773,No ATC Code
DB01774,No ATC Code
DB01775,No ATC Code
DB01776,No ATC Code
DB01777,No ATC Code
DB01778,No ATC Code
DB01779,No ATC Code
DB01780,No ATC Code
DB01782,No ATC Code
DB01783,D
DB01784,No ATC Code
DB01785,No ATC Code
DB01786,No ATC Code
DB01788,No ATC Code
DB01789,No ATC Code
DB01790,No ATC Code
DB01791,No ATC Code
DB01792,No ATC Code
DB01793,No ATC Code
DB01794,No ATC Code
DB01795,No ATC Code
DB01796,No ATC Code
DB01797,No ATC Code
DB01798,No ATC Code
DB01799,No ATC Code
DB01800,No ATC Code
